Area;Player Direction;Pass Direction;Offensive Action;Footwork;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Top;To Hoop;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Left;From Hoop;DHO;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Stationary;Left;Pin Down;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Away From Hoop;Left;Flare;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Left;Off the Dribble;Spot Up;1-2 Left/Right;Make ;Left;Open;3;2024-2025
Left Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Top;Right;Right;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Right;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Right;Wide Open;0;2024-2025
Right Wing;To Hoop;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Left;Close;0;2024-2025
Right Wing;Left;Left;Lift;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Left;From Hoop;DHO;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Stationary;Left;Spot Up;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Stationary;Left;Drive Kick;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Right;From Hoop;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;To Hoop;Right;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Top;Away From Hoop;Left;Flare;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Right;Left;Flare;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Stationary;Left;Spot Up;Hop  ;Make ;Catch & Shoot;Tight;3;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Away From Hoop;Right;Flare;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Right;From Hoop;Spot Up;Hop  ;Make ;Catch & Shoot;Close;3;2024-2025
Right Corner;Right;Left;Drive Kick;1-2 Right/Left;Miss;Catch & Shoot;Wide Open;0;2024-2025
