Area,Player Direction,Pass Direction,Offensive Action,Footwork,Make/Miss,Off Dribble Hand,Defender Distance,PTS,Year,Date
Right Wing,Away From Hoop,Right,Pin Down,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,2/13/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Tight,0,2024-2025,2/21/2025
Left Wing,Stationary,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/21/2025
Right Wing,Right,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,2/21/2025
Top,Right,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Close,3,2024-2025,2/21/2025
Right Wing,Left,Left,Drive Kick,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,2/21/2025
Right Wing,Stationary,From Hoop,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Tight,0,2024-2025,2/21/2025
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,2/21/2025
Left Wing,Stationary,From Hoop,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,2/21/2025
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/21/2025
Right Wing,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Make ,Right,Open,3,2024-2025,2/23/2025
Right Wing,Right,Off the Dribble,Iso,1-2 Left/Right,Miss,Left,Tight,0,2024-2025,2/23/2025
Left Wing,Right,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,2/23/2025
Right Corner,Right,Left,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,2/23/2025
Left Wing,Away From Hoop,Right,Flare,Hop  ,Make ,Catch & Shoot,Open,3,2024-2025,2/23/2025
Right Wing,To Hoop,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,2/25/2025
Right Wing,Right,Right,Post Kick Out,1-2 Right/Left,Make ,Catch & Shoot,Close,3,2024-2025,2/27/2025
Top,Stationary,From Hoop,Drive Kick,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,2/27/2025
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/27/2025
Left Wing,Left,Off the Dribble,Iso,1-2 Right/Left,Miss,Left,Tight,0,2024-2025,2/27/2025
Top,Left,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,2/27/2025
Right Corner,Stationary,Left,Spot Up,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,2/27/2025
Right Corner,Stationary,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,3/1/2025
Right Wing,Away From Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,3/1/2025
Left Wing,Right,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,3/1/2025
